monthly_spending_ratio,savings_ratio,income_level,fixed_commitments_ratio,goal_progress_ratio,goal_delay_ratio,expense_frequency,spending_variance,emergency_fund_ratio,income_growth_rate,income_stability,risk_level,target_class
0.7951,0.0342,0.4956,0.6722,0.277,0.7974,0.8201,0.8275,0.0601,-0.0279,0.3397,0.872,0
0.8978,0.0387,0.5656,0.7798,0.3447,0.7503,0.8632,0.7424,0.1225,-0.0004,0.4297,0.8742,0
0.8712,0.0268,0.496,0.7985,0.2816,0.7829,0.8286,0.7166,0.1097,-0.0409,0.3412,0.8041,0
0.8572,0.0132,0.5017,0.7552,0.2645,0.5202,0.8024,0.8239,0.1179,-0.0209,0.4661,0.7854,0
0.8704,0.0282,0.5467,0.7489,0.2115,0.6731,0.765,0.7813,0.1179,-0.0471,0.4754,0.7523,0
0.8045,0.0217,0.542,0.7566,0.3053,0.5161,0.7978,0.7049,0.0753,-0.0364,0.4569,0.7101,0
0.8845,0.0501,0.501,0.7369,0.2728,0.6194,0.7931,0.741,0.0592,-0.0144,0.3131,0.8701,0
0.8799,0.0443,0.5933,0.777,0.3482,0.6541,0.853,0.7242,0.0746,-0.0419,0.3252,0.894,0
0.8271,0.0349,0.5467,0.7985,0.303,0.7644,0.8724,0.8385,0.0624,-0.0242,0.4159,0.8854,0
0.912,0.0355,0.4646,0.7079,0.33,0.6019,0.757,0.776,0.0645,-0.0014,0.4727,0.8266,0
0.8416,0.0202,0.5226,0.6813,0.2147,0.7797,0.78,0.8438,0.1254,-0.0069,0.4628,0.8686,0
0.8731,0.0182,0.5755,0.7468,0.2541,0.591,0.8156,0.7217,0.0548,-0.0454,0.4909,0.733,0
0.935,0.0324,0.5331,0.7837,0.2926,0.7435,0.7286,0.8425,0.1355,-0.026,0.3901,0.8841,0
0.7961,0.0452,0.5396,0.7182,0.2293,0.6503,0.8546,0.772,0.0745,-0.0296,0.4357,0.7062,0
0.7664,0.0385,0.5719,0.7067,0.2884,0.6058,0.8262,0.7014,0.0882,-0.0054,0.3953,0.7093,0
0.8551,0.0367,0.5323,0.7186,0.2676,0.5456,0.819,0.8483,0.0758,-0.0389,0.462,0.8835,0
0.8204,0.0588,0.5672,0.7217,0.2543,0.6719,0.8709,0.7015,0.096,-0.0114,0.3399,0.876,0
0.7962,0.0187,0.5655,0.6778,0.2812,0.758,0.8892,0.7796,0.0881,-0.0074,0.4575,0.836,0
0.7546,0.0397,0.4779,0.6908,0.2227,0.5519,0.8381,0.7816,0.1171,-0.0016,0.3526,0.7004,0
0.8935,0.0208,0.5285,0.7179,0.3387,0.5155,0.7703,0.8151,0.0671,-0.0143,0.3329,0.8815,0
0.925,0.0394,0.5696,0.7207,0.3456,0.5543,0.7911,0.7054,0.0818,-0.0095,0.3793,0.8271,0
0.9284,0.0266,0.4609,0.7174,0.2143,0.5674,0.7749,0.7489,0.0995,-0.0072,0.3987,0.8406,0
0.9412,0.0165,0.593,0.6593,0.2898,0.7229,0.8932,0.7575,0.0903,-0.0127,0.3091,0.8802,0
0.9336,0.0495,0.4534,0.7602,0.2693,0.7303,0.7034,0.7728,0.126,-0.0304,0.3185,0.8785,0
0.7714,0.0474,0.4826,0.6839,0.2901,0.787,0.8062,0.7422,0.1091,-0.0463,0.3452,0.8302,0
0.8055,0.0197,0.5116,0.6517,0.2075,0.7238,0.7644,0.7796,0.0785,-0.0255,0.3708,0.8599,0
0.848,0.0343,0.5502,0.725,0.2528,0.5659,0.7693,0.7548,0.1448,-0.0008,0.449,0.8819,0
0.9231,0.0335,0.4925,0.6543,0.2087,0.6464,0.8006,0.7728,0.1378,-0.0352,0.322,0.7255,0
0.7572,0.0412,0.5518,0.7913,0.33,0.5477,0.7649,0.8328,0.1154,-0.0383,0.3843,0.8974,0
0.8572,0.0238,0.5301,0.766,0.3257,0.5374,0.7639,0.7319,0.1352,-0.0209,0.4309,0.7217,0
0.9231,0.0359,0.4515,0.7527,0.3183,0.5083,0.8162,0.7882,0.1234,-0.015,0.4472,0.7642,0
0.8291,0.0145,0.5174,0.7951,0.2495,0.5702,0.8353,0.8047,0.0877,-0.0489,0.3045,0.7436,0
0.8243,0.0443,0.4628,0.7373,0.2723,0.628,0.7855,0.7255,0.0873,-0.0232,0.4139,0.8209,0
0.9181,0.0204,0.4971,0.6971,0.2056,0.5369,0.7376,0.8195,0.123,-0.0193,0.307,0.8334,0
0.8213,0.055,0.5295,0.7599,0.2208,0.6309,0.7826,0.803,0.0644,-0.0069,0.3845,0.7791,0
0.8837,0.0292,0.4782,0.6956,0.3056,0.5534,0.7465,0.709,0.1222,-0.0318,0.3496,0.8328,0
0.895,0.0441,0.4893,0.6721,0.2875,0.7182,0.8215,0.7529,0.1034,-0.0055,0.338,0.8662,0
0.8146,0.0217,0.5842,0.7334,0.3397,0.711,0.7213,0.8379,0.1355,-0.0345,0.3141,0.8526,0
0.8502,0.0418,0.5502,0.6954,0.3484,0.7096,0.7533,0.8369,0.0983,-0.0032,0.4034,0.8113,0
0.7791,0.0565,0.5144,0.768,0.2442,0.5346,0.7338,0.7377,0.1222,-0.0286,0.4754,0.7642,0
0.8287,0.042,0.5852,0.6996,0.2652,0.6473,0.7718,0.8278,0.0534,-0.0024,0.3431,0.7454,0
0.7989,0.0304,0.5941,0.7728,0.2176,0.7492,0.801,0.7542,0.0787,-0.0214,0.3642,0.8447,0
0.8642,0.0464,0.5504,0.7934,0.3386,0.5686,0.8452,0.768,0.1117,-0.015,0.4238,0.8547,0
0.9158,0.0537,0.4602,0.7463,0.346,0.5054,0.8609,0.8222,0.1046,-0.0053,0.452,0.7873,0
0.756,0.0215,0.5532,0.7263,0.2302,0.7607,0.7427,0.825,0.0871,-0.0109,0.4566,0.8562,0
0.8293,0.0396,0.5033,0.6653,0.297,0.7836,0.8295,0.7912,0.0555,-0.0362,0.3675,0.7966,0
0.7878,0.0208,0.4845,0.6843,0.2793,0.5288,0.8129,0.827,0.1108,-0.0436,0.4623,0.8963,0
0.7786,0.0364,0.5188,0.7941,0.2214,0.5486,0.7158,0.8391,0.0854,-0.025,0.3589,0.8987,0
0.8644,0.0164,0.4586,0.7886,0.2059,0.5824,0.8069,0.7359,0.0829,-0.0093,0.3617,0.7883,0
0.7949,0.0479,0.4527,0.7696,0.2549,0.7188,0.7973,0.7068,0.1415,-0.0464,0.3485,0.7699,0
0.824,0.0169,0.5268,0.7342,0.2163,0.5937,0.7584,0.8457,0.0833,-0.011,0.3895,0.8818,0
0.9134,0.0538,0.5929,0.7231,0.3246,0.6607,0.8276,0.8466,0.0754,-0.0138,0.3715,0.8573,0
0.8896,0.0597,0.5226,0.6838,0.3129,0.5704,0.8264,0.7348,0.1028,-0.0337,0.4605,0.7752,0
0.8684,0.0535,0.5168,0.671,0.3158,0.6572,0.7242,0.7451,0.0823,-0.0122,0.4115,0.7519,0
0.8353,0.0377,0.4511,0.6971,0.2718,0.7621,0.774,0.7032,0.1004,-0.0184,0.4381,0.8568,0
0.7848,0.0247,0.4742,0.773,0.2036,0.5605,0.8764,0.7498,0.0982,-0.0305,0.3275,0.8275,0
0.9179,0.0164,0.5097,0.6765,0.2214,0.6405,0.8696,0.7603,0.0572,-0.0207,0.3508,0.8066,0
0.931,0.0274,0.5153,0.6959,0.3343,0.6664,0.8564,0.7877,0.0791,-0.0225,0.4158,0.7552,0
0.7909,0.0556,0.4627,0.7561,0.2385,0.7966,0.8339,0.7179,0.1031,-0.0478,0.4518,0.7796,0
0.7573,0.0464,0.4745,0.7422,0.3419,0.6604,0.8899,0.8227,0.1318,-0.0495,0.3831,0.8423,0
0.8474,0.0359,0.5195,0.7106,0.3377,0.7777,0.768,0.702,0.081,-0.0213,0.3039,0.7951,0
0.9455,0.0421,0.4599,0.6796,0.2177,0.6166,0.8615,0.8,0.073,-0.0258,0.4518,0.7748,0
0.8189,0.0289,0.5818,0.7772,0.3214,0.5174,0.8774,0.8007,0.111,-0.0282,0.449,0.7611,0
0.8061,0.0346,0.5254,0.7589,0.2543,0.73,0.8572,0.7795,0.0848,-0.0303,0.4068,0.7838,0
0.7811,0.0376,0.462,0.6676,0.2041,0.6942,0.7417,0.8455,0.0859,-0.0214,0.4295,0.8401,0
0.8814,0.045,0.5612,0.7508,0.2717,0.5875,0.808,0.7503,0.1426,-0.0476,0.4772,0.7586,0
0.8252,0.0476,0.4876,0.6501,0.2522,0.5517,0.7154,0.711,0.1319,-0.0147,0.492,0.7623,0
0.9019,0.0218,0.554,0.7622,0.2756,0.6615,0.8306,0.7886,0.0922,-0.0271,0.4026,0.815,0
0.8559,0.0536,0.5664,0.7612,0.282,0.7979,0.833,0.7526,0.0895,-0.0363,0.3133,0.8366,0
0.8361,0.0567,0.4825,0.737,0.3152,0.7282,0.7846,0.8162,0.0839,-0.0197,0.4895,0.8507,0
0.7515,0.0175,0.5806,0.6573,0.2438,0.6286,0.8768,0.8225,0.0548,-0.0436,0.3622,0.7971,0
0.9343,0.0351,0.4644,0.7523,0.3097,0.5573,0.7021,0.7818,0.1116,-0.0255,0.4781,0.7383,0
0.9008,0.0592,0.5741,0.7219,0.2408,0.7831,0.822,0.7951,0.0589,-0.0428,0.3186,0.7379,0
0.9217,0.0118,0.484,0.7538,0.3155,0.7263,0.8746,0.7055,0.1347,-0.0104,0.4505,0.7144,0
0.8457,0.0292,0.4764,0.7686,0.3464,0.7115,0.7142,0.7416,0.0594,-0.0394,0.3859,0.8609,0
0.909,0.0589,0.4548,0.6586,0.2468,0.6186,0.7375,0.8459,0.0774,-0.048,0.313,0.8494,0
0.8833,0.0211,0.5023,0.6569,0.2182,0.7406,0.8629,0.8176,0.1427,-0.0013,0.4367,0.8486,0
0.7753,0.0423,0.5027,0.7794,0.3025,0.7417,0.8243,0.7889,0.0763,-0.0276,0.4664,0.7746,0
0.8968,0.0546,0.5343,0.6786,0.2344,0.6033,0.7939,0.8491,0.1496,-0.0058,0.4379,0.8399,0
0.8083,0.055,0.5833,0.6682,0.2511,0.5989,0.8997,0.7938,0.0587,-0.0477,0.4935,0.7532,0
0.8094,0.0285,0.5235,0.7165,0.2806,0.6392,0.8837,0.8008,0.0881,-0.0061,0.4548,0.7885,0
0.7501,0.0347,0.466,0.7612,0.2726,0.6706,0.7002,0.799,0.1384,-0.0114,0.4635,0.71,0
0.8575,0.053,0.5614,0.7447,0.2025,0.5979,0.8121,0.8272,0.1225,-0.006,0.4959,0.7352,0
0.8659,0.0517,0.4798,0.7412,0.3217,0.7006,0.7584,0.749,0.106,-0.0144,0.4447,0.7986,0
0.7862,0.0124,0.4537,0.7467,0.2459,0.6341,0.8117,0.7822,0.0644,-0.0061,0.498,0.8789,0
0.84,0.0364,0.593,0.6984,0.239,0.679,0.777,0.7163,0.0987,-0.0443,0.4986,0.8888,0
0.8295,0.0158,0.5138,0.7817,0.3206,0.7799,0.8839,0.7691,0.095,-0.0144,0.4755,0.8797,0
0.812,0.0325,0.524,0.7883,0.3363,0.714,0.7123,0.721,0.1443,-0.0219,0.3331,0.7743,0
0.9351,0.025,0.5785,0.7224,0.2437,0.5252,0.7748,0.8155,0.0827,-0.0244,0.3718,0.7897,0
0.8891,0.0363,0.5558,0.716,0.3308,0.6999,0.8503,0.7141,0.0688,-0.0111,0.4355,0.8985,0
0.8728,0.0114,0.574,0.7332,0.3468,0.6548,0.7106,0.7335,0.1262,-0.0278,0.4332,0.7694,0
0.8531,0.0126,0.5292,0.6706,0.2286,0.6725,0.7531,0.7368,0.1421,-0.0147,0.4675,0.7954,0
0.775,0.0562,0.5744,0.6881,0.2188,0.6034,0.8883,0.8375,0.1313,-0.0361,0.4796,0.8216,0
0.9378,0.0133,0.4753,0.785,0.2244,0.5489,0.8604,0.8162,0.1403,-0.0388,0.4378,0.8055,0
0.825,0.0411,0.4738,0.741,0.2218,0.6758,0.864,0.7252,0.1056,-0.0251,0.4565,0.8987,0
0.7706,0.048,0.4964,0.6873,0.3204,0.7617,0.8808,0.732,0.0898,-0.0015,0.4875,0.8546,0
0.7673,0.0488,0.5936,0.7572,0.2468,0.5934,0.7638,0.7391,0.1037,-0.0457,0.4758,0.8824,0
0.8636,0.0386,0.4668,0.6715,0.2187,0.5201,0.7537,0.7758,0.0807,-0.0257,0.4416,0.8102,0
0.8603,0.0382,0.5356,0.6545,0.3447,0.6215,0.7848,0.8482,0.1483,-0.0356,0.3061,0.8924,0
0.7786,0.0198,0.4769,0.6597,0.2881,0.6403,0.8354,0.8143,0.0635,-0.0018,0.4987,0.8271,0
0.9295,0.0199,0.5932,0.795,0.2519,0.5434,0.8573,0.7308,0.0599,-0.0497,0.4568,0.869,0
0.8259,0.0326,0.4599,0.7905,0.264,0.6746,0.7229,0.7464,0.1067,-0.0245,0.4577,0.7003,0
0.8784,0.0294,0.5906,0.7848,0.2706,0.6559,0.7432,0.8036,0.1333,-0.0358,0.3776,0.7149,0
0.9432,0.0127,0.487,0.7708,0.3072,0.784,0.7905,0.7846,0.0916,-0.01,0.4488,0.8467,0
0.9331,0.0232,0.5027,0.6602,0.2341,0.7083,0.8278,0.8226,0.1301,-0.013,0.4354,0.8996,0
0.9178,0.0124,0.5833,0.7494,0.2859,0.6691,0.7013,0.824,0.1091,-0.0081,0.4662,0.7222,0
0.8438,0.0348,0.4728,0.6954,0.3033,0.6216,0.7211,0.7864,0.1265,-0.0039,0.3698,0.7799,0
0.9096,0.0499,0.5048,0.6544,0.3132,0.6707,0.7364,0.8163,0.1215,-0.0255,0.4241,0.8756,0
0.8298,0.0156,0.5856,0.7189,0.3011,0.6764,0.8885,0.8371,0.104,-0.0092,0.3136,0.7564,0
0.8387,0.0273,0.5694,0.6814,0.3493,0.6548,0.8506,0.7497,0.1415,-0.0226,0.3347,0.8317,0
0.8441,0.0427,0.5686,0.6627,0.2084,0.7531,0.8788,0.735,0.0953,-0.0212,0.3037,0.8295,0
0.8237,0.0575,0.5402,0.6948,0.3357,0.7537,0.7316,0.7335,0.1022,-0.0469,0.3987,0.7664,0
0.8293,0.0502,0.57,0.6628,0.3309,0.6678,0.806,0.7728,0.0675,-0.0078,0.4522,0.8017,0
0.922,0.0455,0.5175,0.6657,0.3059,0.6195,0.808,0.8317,0.0548,-0.0493,0.322,0.8697,0
0.77,0.0392,0.4614,0.7426,0.2084,0.7497,0.7441,0.7349,0.0554,-0.0287,0.4366,0.7195,0
0.8487,0.0579,0.4791,0.7778,0.2242,0.712,0.7083,0.8371,0.0927,-0.0055,0.3276,0.8086,0
0.8591,0.0412,0.5752,0.7184,0.2532,0.6775,0.7103,0.7969,0.0776,-0.0009,0.3486,0.7349,0
0.8194,0.0596,0.4513,0.7824,0.2216,0.7472,0.7059,0.7619,0.0948,-0.0332,0.4842,0.8894,0
0.912,0.0123,0.5794,0.7923,0.3075,0.5101,0.8197,0.7375,0.0532,-0.0302,0.3355,0.8041,0
0.9289,0.0441,0.5891,0.6905,0.2287,0.6725,0.801,0.8356,0.0791,-0.0112,0.4247,0.8635,0
0.9129,0.0406,0.516,0.7599,0.3382,0.6369,0.7482,0.7763,0.1118,-0.0323,0.3287,0.7508,0
0.8309,0.0373,0.589,0.7452,0.3406,0.691,0.7764,0.7731,0.1081,-0.0437,0.3563,0.7374,0
0.8559,0.0217,0.5222,0.7617,0.3299,0.5168,0.778,0.8472,0.0859,-0.0201,0.4467,0.8233,0
0.9169,0.0406,0.5438,0.7571,0.3019,0.6339,0.8837,0.8244,0.1434,-0.045,0.3054,0.8421,0
0.8506,0.0146,0.4831,0.7067,0.3181,0.726,0.7577,0.7445,0.0811,-0.0106,0.4197,0.7591,0
0.9001,0.0477,0.5068,0.7061,0.2192,0.5712,0.8227,0.701,0.0861,-0.0189,0.4914,0.7545,0
0.8135,0.0546,0.55,0.7442,0.2392,0.6159,0.8588,0.7166,0.0757,-0.0286,0.4665,0.8266,0
0.9031,0.0222,0.4634,0.7875,0.2673,0.6005,0.7443,0.7056,0.089,-0.0103,0.3627,0.7767,0
0.7528,0.0205,0.4755,0.7239,0.3288,0.5895,0.8481,0.8224,0.1119,-0.0467,0.3512,0.8455,0
0.8261,0.024,0.4976,0.7398,0.254,0.652,0.7149,0.8272,0.1144,-0.0236,0.4927,0.705,0
0.808,0.0373,0.5158,0.7131,0.2563,0.6342,0.711,0.7034,0.105,-0.0252,0.4342,0.7545,0
0.8468,0.0283,0.5846,0.7243,0.3039,0.5584,0.8463,0.7796,0.0694,-0.0493,0.3244,0.8527,0
0.8433,0.038,0.4776,0.6747,0.336,0.7864,0.8902,0.7625,0.1433,-0.0198,0.3575,0.8976,0
0.9248,0.0588,0.5277,0.7808,0.3095,0.5425,0.8242,0.7229,0.1102,-0.0082,0.3277,0.7408,0
0.8674,0.0337,0.4936,0.696,0.2413,0.6273,0.8018,0.7249,0.121,-0.0023,0.399,0.7133,0
0.888,0.0493,0.5331,0.7871,0.3137,0.6611,0.8752,0.739,0.1221,-0.0137,0.3889,0.7126,0
0.8387,0.0203,0.5765,0.6528,0.3348,0.5883,0.8593,0.7413,0.0544,-0.0338,0.4818,0.7392,0
0.8942,0.0465,0.5145,0.7163,0.2807,0.5262,0.8269,0.8005,0.1127,-0.0289,0.4566,0.8651,0
0.8477,0.0242,0.508,0.7646,0.2949,0.5454,0.7482,0.7513,0.1061,-0.0009,0.3335,0.8273,0
0.9106,0.0438,0.46,0.7388,0.2244,0.6863,0.8409,0.7816,0.0619,-0.0293,0.3564,0.8313,0
0.7752,0.0217,0.5525,0.7472,0.216,0.6401,0.8851,0.7499,0.1022,-0.0132,0.4192,0.8434,0
0.881,0.0574,0.5213,0.7865,0.3299,0.7082,0.8179,0.7292,0.063,-0.0405,0.4006,0.8344,0
0.8955,0.0197,0.5028,0.744,0.2889,0.5236,0.809,0.7921,0.1389,-0.0386,0.4308,0.7351,0
0.8634,0.044,0.4753,0.6816,0.2714,0.5915,0.8301,0.7038,0.1477,-0.0209,0.4153,0.8818,0
0.7556,0.0362,0.5417,0.6657,0.3281,0.575,0.7756,0.724,0.0725,-0.0219,0.3895,0.8415,0
0.8986,0.0217,0.5542,0.6602,0.2981,0.6245,0.7745,0.7539,0.0656,-0.0335,0.4523,0.826,0
